"BehaviorSpace results (NetLogo 6.3.0)"
"Assignment2-AAGR96.nlogo"
"Traffick Ligts"
"01/19/2023 14:45:50:421 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","lightDuration","numberOfCars","numberOfPedestrians","turnLights","[step]","avgCarWaitingTime","avgPedestrianWaitingTime"
"5","75","10","25","true","1000","981.1","830.72"
"12","75","10","25","false","1000","101","6.4"
"2","75","10","25","true","1000","951.9","741"
"8","75","10","25","true","1000","959.9","813.04"
"3","75","10","25","true","1000","878.7","791.68"
"14","75","10","25","false","1000","93.2","9.88"
"15","75","10","25","false","1000","77","7.6"
"13","75","10","25","false","1000","56.6","8.04"
"4","75","10","25","true","1000","948.3","800.32"
"11","75","10","25","false","1000","99.7","7.68"
"16","75","10","25","false","1000","51.4","6.76"
"1","75","10","25","true","1000","953.6","775.64"
"10","75","10","25","true","1000","969.3","817.84"
"6","75","10","25","true","1000","860","786.48"
"7","75","10","25","true","1000","982.6","815.6"
"18","75","10","25","false","1000","69.5","10.56"
"9","75","10","25","true","1000","980.3","814.68"
"19","75","10","25","false","1000","67.7","9.2"
"20","75","10","25","false","1000","79","8.48"
"23","75","10","50","true","1000","967.3","889.44"
"30","75","10","50","true","1000","974.1","871.5"
"31","75","10","50","false","1000","159.5","15.74"
"17","75","10","25","false","1000","81.1","8.4"
"24","75","10","50","true","1000","968.7","890.48"
"21","75","10","50","true","1000","975.9","883.9"
"32","75","10","50","false","1000","178.3","16.9"
"28","75","10","50","true","1000","977","903.74"
"33","75","10","50","false","1000","245.9","15.08"
"34","75","10","50","false","1000","205","19.42"
"22","75","10","50","true","1000","977.6","905.28"
"25","75","10","50","true","1000","969.8","896.4"
"38","75","10","50","false","1000","171.4","18.92"
"26","75","10","50","true","1000","976.1","900"
"39","75","10","50","false","1000","196.3","14.28"
"27","75","10","50","true","1000","970.6","907.66"
"40","75","10","50","false","1000","195.6","11.06"
"41","75","10","75","true","1000","970.5","927.28"
"29","75","10","50","true","1000","960.6","886.92"
"36","75","10","50","false","1000","204.9","15.84"
"35","75","10","50","false","1000","229.8","14.88"
"44","75","10","75","true","1000","984.7","889.7466666666667"
"48","75","10","75","true","1000","976.9","918.92"
"37","75","10","50","false","1000","173.5","11.24"
"49","75","10","75","true","1000","986.9","919.04"
"42","75","10","75","true","1000","981.6","923.2933333333333"
"46","75","10","75","true","1000","963.4","914.5333333333333"
"43","75","10","75","true","1000","964.1","923.84"
"53","75","10","75","false","1000","696.2","59.733333333333334"
"51","75","10","75","false","1000","582.6","46.413333333333334"
"50","75","10","75","true","1000","968.2","931.1466666666666"
"54","75","10","75","false","1000","605.9","52.42666666666667"
"56","75","10","75","false","1000","783.6","61.10666666666667"
"45","75","10","75","true","1000","973.6","915.8"
"47","75","10","75","true","1000","985.8","917.08"
"52","75","10","75","false","1000","660.4","59.14666666666667"
"63","75","30","25","true","1000","982.8333333333334","767.8"
"64","75","30","25","true","1000","977.6666666666666","796.64"
"58","75","10","75","false","1000","502.2","71.52"
"57","75","10","75","false","1000","540.7","72.73333333333333"
"60","75","10","75","false","1000","570.2","54.89333333333333"
"68","75","30","25","true","1000","983.2","836.76"
"55","75","10","75","false","1000","581.2","67.78666666666666"
"61","75","30","25","true","1000","965.9333333333333","781.36"
"69","75","30","25","true","1000","843.2","765.16"
"67","75","30","25","true","1000","980.1666666666666","802.6"
"72","75","30","25","false","1000","641.2","9.36"
"73","75","30","25","false","1000","589.4","9.16"
"59","75","10","75","false","1000","665.6","48.08"
"76","75","30","25","false","1000","611.9666666666667","9.76"
"71","75","30","25","false","1000","625.4666666666667","8.52"
"62","75","30","25","true","1000","973.9","817.08"
"78","75","30","25","false","1000","598.0333333333333","10.16"
"70","75","30","25","true","1000","973.7","742.48"
"74","75","30","25","false","1000","615.8333333333334","8"
"79","75","30","25","false","1000","600.4666666666667","9"
"65","75","30","25","true","1000","983.1666666666666","779.92"
"81","75","30","50","true","1000","982.3333333333334","884.92"
"75","75","30","25","false","1000","630.2","9.56"
"66","75","30","25","true","1000","967.1666666666666","798.2"
"77","75","30","25","false","1000","633.3","10.4"
"84","75","30","50","true","1000","984.2333333333333","878.98"
"85","75","30","50","true","1000","977.5","894.64"
"87","75","30","50","true","1000","982.0333333333333","903.14"
"89","75","30","50","true","1000","979.4666666666667","878.68"
"82","75","30","50","true","1000","984.6666666666666","892.88"
"90","75","30","50","true","1000","977.2","873.96"
"93","75","30","50","false","1000","711.8","16.7"
"94","75","30","50","false","1000","667.9","15.76"
"86","75","30","50","true","1000","982.2","886.02"
"95","75","30","50","false","1000","702.5666666666667","15.86"
"80","75","30","25","false","1000","622.0666666666667","12.52"
"96","75","30","50","false","1000","678.6","16.52"
"83","75","30","50","true","1000","975.8666666666667","882.5"
"92","75","30","50","false","1000","696","14.96"
"88","75","30","50","true","1000","975.9333333333333","892.68"
"98","75","30","50","false","1000","680.6","19.8"
"99","75","30","50","false","1000","679.2","16.58"
"100","75","30","50","false","1000","693.1","15.34"
"91","75","30","50","false","1000","706.7666666666667","13.46"
"102","75","30","75","true","1000","984.6666666666666","927.4933333333333"
"97","75","30","50","false","1000","729.8","21.84"
"104","75","30","75","true","1000","982.5333333333333","926.32"
"101","75","30","75","true","1000","982.0333333333333","913.2666666666667"
"105","75","30","75","true","1000","986.6333333333333","928.36"
"108","75","30","75","true","1000","982.2333333333333","918.44"
"106","75","30","75","true","1000","981.2666666666667","903"
"107","75","30","75","true","1000","986.5333333333333","923.28"
"109","75","30","75","true","1000","983.2","919.9733333333334"
"110","75","30","75","true","1000","984.3333333333334","916.2666666666667"
"103","75","30","75","true","1000","980.4666666666667","911.84"
"121","75","50","25","true","1000","987.02","791.36"
"112","75","30","75","false","1000","840.6","53.68"
"111","75","30","75","false","1000","902.7666666666667","69.45333333333333"
"122","75","50","25","true","1000","920.1","800.56"
"114","75","30","75","false","1000","843.6","58.13333333333333"
"113","75","30","75","false","1000","870.8","44.666666666666664"
"117","75","30","75","false","1000","863.9666666666667","55.946666666666665"
"115","75","30","75","false","1000","892.8","67.12"
"123","75","50","25","true","1000","983.48","769.68"
"116","75","30","75","false","1000","927.9666666666667","73.26666666666667"
"124","75","50","25","true","1000","981.04","830.88"
"118","75","30","75","false","1000","863.6333333333333","50.53333333333333"
"119","75","30","75","false","1000","891.2","66.62666666666667"
"125","75","50","25","true","1000","986.5","846.44"
"126","75","50","25","true","1000","982.62","787.76"
"127","75","50","25","true","1000","977.82","802.12"
"120","75","30","75","false","1000","851.6","65.78666666666666"
"128","75","50","25","true","1000","985.44","831.28"
"129","75","50","25","true","1000","981.68","834.36"
"130","75","50","25","true","1000","977.48","824.36"
"131","75","50","25","false","1000","768.12","8.76"
"132","75","50","25","false","1000","765.9","8.64"
"133","75","50","25","false","1000","753.76","11.08"
"134","75","50","25","false","1000","795.56","8.08"
"138","75","50","25","false","1000","764.58","10.12"
"135","75","50","25","false","1000","771.88","9"
"136","75","50","25","false","1000","762.48","9.68"
"137","75","50","25","false","1000","762.76","7.4"
"139","75","50","25","false","1000","765.5","11.04"
"140","75","50","25","false","1000","764.98","10.2"
"141","75","50","50","true","1000","984.24","878.14"
"142","75","50","50","true","1000","983.46","900.78"
"143","75","50","50","true","1000","986.54","876.4"
"144","75","50","50","true","1000","987.12","897.74"
"145","75","50","50","true","1000","981.3","880.76"
"147","75","50","50","true","1000","988.18","886.06"
"146","75","50","50","true","1000","984.88","914.58"
"148","75","50","50","true","1000","980.68","897.6"
"149","75","50","50","true","1000","988.04","881.12"
"150","75","50","50","true","1000","977.94","893.16"
"151","75","50","50","false","1000","800.76","13.24"
"153","75","50","50","false","1000","813.64","14.68"
"152","75","50","50","false","1000","827.54","22.36"
"154","75","50","50","false","1000","830.62","15.4"
"155","75","50","50","false","1000","807.74","16.08"
"158","75","50","50","false","1000","794.52","19.9"
"157","75","50","50","false","1000","788.6","19.7"
"156","75","50","50","false","1000","812.7","15.86"
"159","75","50","50","false","1000","810.14","16.74"
"160","75","50","50","false","1000","814.62","18.28"
"161","75","50","75","true","1000","981.76","918.0266666666666"
"162","75","50","75","true","1000","984.76","904.4533333333334"
"164","75","50","75","true","1000","985.86","920.04"
"163","75","50","75","true","1000","985.68","900"
"165","75","50","75","true","1000","986.44","923.52"
"167","75","50","75","true","1000","987.82","893.2933333333333"
"166","75","50","75","true","1000","985.24","915.4533333333334"
"168","75","50","75","true","1000","988.44","914.1466666666666"
"169","75","50","75","true","1000","984.88","908.7333333333333"
"170","75","50","75","true","1000","985.54","903.4266666666666"
"171","75","50","75","false","1000","907.06","59.666666666666664"
"172","75","50","75","false","1000","911.9","40.68"
"173","75","50","75","false","1000","914.4","43.45333333333333"
"174","75","50","75","false","1000","916.9","61.4"
"175","75","50","75","false","1000","919.7","87"
"176","75","50","75","false","1000","918.42","80.57333333333334"
"177","75","50","75","false","1000","897.44","48.266666666666666"
"178","75","50","75","false","1000","907.34","69.89333333333333"
